Run,Seed,Generation,Diversity,Migrants,Epoch Size,Best Score
8,3315,3600,1.63478,2,64,7.26029
8,3315,3900,1.61169,2,61,7.36913
8,3315,4200,1.54233,2,59,7.3805
8,3315,4500,1.5417,2,57,7.45431
8,3315,4800,1.54543,2,55,7.58678
8,3315,5100,1.54771,2,53,7.58678
8,3315,5400,1.5496,2,51,7.58678
8,3315,5700,1.54138,2,49,7.58678
8,3315,6000,1.52756,2,47,7.58678
8,3315,6300,1.53899,2,46,7.58678
8,3315,6600,1.54875,2,44,7.58678
8,3315,6900,1.54023,2,42,7.58678
8,3315,7200,1.53023,2,41,7.58678
8,3315,7500,1.54141,2,39,7.58678
8,3315,7800,1.54157,2,38,7.58678
8,3315,8100,1.53745,2,36,7.58678
8,3315,8400,1.54158,2,35,7.58678
8,3315,8700,1.54629,2,34,7.58678
8,3315,9000,1.54074,2,32,7.58678
8,3315,9300,1.54842,2,31,7.58678
8,3315,9600,1.53922,2,30,7.58678
8,3315,9900,1.54083,2,29,7.58678
8,3315,10200,1.5343,2,28,7.58678
8,3315,10500,1.54239,2,27,7.58678
8,3315,10800,1.53846,2,26,7.58678
8,3315,11100,1.54106,2,25,7.58678
8,3315,11400,1.53007,2,24,7.58678
8,3315,11700,1.53858,2,23,7.58678
8,3315,12000,1.5427,2,22,7.58678
8,3315,12300,1.54475,2,21,7.58678
8,3315,12600,1.54025,2,21,7.58678
8,3315,12900,1.5408,2,20,7.58678
8,3315,13200,1.54204,2,19,7.58678
8,3315,13500,1.54187,2,18,7.58678
8,3315,13800,1.54252,2,18,7.58678
8,3315,14100,1.54195,2,17,7.58678
8,3315,14400,1.5399,2,17,7.58678
8,3315,14700,1.53556,2,16,7.58678
8,3315,15000,1.54344,2,15,7.58678
8,3315,15300,1.53891,2,15,7.58678
9,6526,300,34.68416,2,96,0.0027834
9,6526,600,22.93288,2,93,0.02474
9,6526,900,16.28088,2,89,0.02474
9,6526,1200,19.36009,2,86,0.02474
9,6526,1500,14.30961,2,83,0.40545
9,6526,1800,21.57812,2,80,0.40545
9,6526,2100,17.11007,2,77,0.40545
9,6526,2400,18.55141,2,74,0.40545
9,6526,2700,13.10984,2,71,0.40545
9,6526,3000,13.97939,2,69,0.40545
9,6526,3300,14.13043,2,66,0.86788
9,6526,3600,0.04193,2,64,0.93134
9,6526,3900,0.019966,2,61,1.01844
9,6526,4200,0.02155,2,59,1.10759
9,6526,4500,0.0238,2,57,1.13172
9,6526,4800,0.02051,2,55,1.13172
9,6526,5100,0.02897,2,53,1.43286
9,6526,5400,0.02089,2,51,1.5489
9,6526,5700,0.0033782,2,49,1.57467
9,6526,6000,0.0057548,2,47,1.65805
9,6526,6300,0.0065863,2,46,1.88928
9,6526,6600,0.0019795,2,44,1.90802
9,6526,6900,0.0031207,2,42,2.01425
9,6526,7200,0.0018839,2,41,2.01425
9,6526,7500,0.0018649,2,39,2.04062
9,6526,7800,0.0031384,2,38,2.04062
9,6526,8100,0.0034011,2,36,2.04062
9,6526,8400,0.0044148,2,35,2.15324
9,6526,8700,0.004457,2,34,2.15324
9,6526,9000,0.0038097,2,32,2.15324
9,6526,9300,0.0048533,2,31,2.15324
9,6526,9600,0.006305,2,30,2.15324
9,6526,9900,0.0069704,2,29,2.15324
9,6526,10200,0.0068733,2,28,2.15324
9,6526,10500,0.0087603,2,27,2.16268
9,6526,10800,0.011435,2,26,2.32515
9,6526,11100,0.014539,2,25,2.64711
9,6526,11400,0.0026696,2,24,3.21313
9,6526,11700,0.0019413,2,23,3.24006
9,6526,12000,0.0022413,2,22,3.24006
9,6526,12300,0.0031906,2,21,3.24006
9,6526,12600,0.0028764,2,21,3.26037
9,6526,12900,0.00153,2,20,3.27369
9,6526,13200,0.0019678,2,19,3.27369
9,6526,13500,0.0021352,2,18,3.27369
9,6526,13800,0.0020382,2,18,3.27369
9,6526,14100,0.0023416,2,17,3.27369
9,6526,14400,0.00332,2,17,3.27369
9,6526,14700,0.0030042,2,16,3.31169
9,6526,15000,0.0041726,2,15,3.31169
9,6526,15300,0.0019562,2,15,3.3405
10,9460,300,23.23093,2,96,0.0021629
10,9460,600,22.75269,2,93,0.0021629
10,9460,900,20.01369,2,89,0.0021629
10,9460,1200,23.58646,2,86,0.0021629
10,9460,1500,20.93055,2,83,0.0050712
10,9460,1800,16.63493,2,80,0.0050712
10,9460,2100,20.19866,2,77,0.0050712
10,9460,2400,16.81909,2,74,0.0050712
10,9460,2700,19.14047,2,71,0.0098697
10,9460,3000,7.06829,2,69,6.60775
10,9460,3300,4.65817,2,66,7.80744
10,9460,3600,3.1061,2,64,8.00129
10,9460,3900,0.0057909,2,61,8.06284
10,9460,4200,0.0082484,2,59,8.06284
10,9460,4500,0.0078158,2,57,8.06284
